en,ngiemboon
ńzẅɛ́ʼ,"advantage, take"
pú,adventure
ntÿɔgɔ́,advice
ńdẅɛ́te,"advice, give bad"
ńtÿɔ́g,advise
ńtÿɔ́gte,advise
ńná ntÿɔgɔ,advise
ńnɔ́g,advise against
ńnɔ́gte,advise against
nnà ntÿɔgɔ́,advisor
letúʼ,"aerial yam, sp."
pepàŋ letúʼ,"aerial yam, sp."
letúʼ métsẅè,"aerial yam, sp. bitter"
vóŋo,"affair, difficult"
éen héen,"affirmative, marking"
lelíb ndù,affix
ḿbʉŋte,afflict
métàʼ ntse,affluent
ŋwɛ́,aforementioned
ńcÿɔʼ,"afraid, be"
ncwòmamúɔ ntʉ̀,African bonebract
pʉ́pÿé,African cuckoo
nkuzsò,African maggi
tÿǒ nkuzsò,African mesquite tree
mênjwò nnáʼ,African nutmet
zoon,African pear
tÿǒ zoon,African pear tree
njʉ́ʼʉ kwɔb,"African sarsaparilla, West"
lepwɔʼ kʉ́kʉ́b,African tiger lotus
