en,ngiemboon
ńkele,eat a lot of sauce
kàsàʼa,"eat, game to"
ńkɔɔn,eat heartily
ńnẅɛʼ,eat heartily
ńjÿóte,eat here and there
ḿmÿɔb,"eat, lips"
ńzẅɛ́,eat one’s fill
ńkumte,eat sauce
ńkyéen,eat without being hungry
ńnyág,eat without being hungry
ńnyágte,eat without being hungry
éshÿɔ́ʼ,eat without fear
ńkumte,eat with parsimony 
tÿǒ ndùm máshúɔ,ebony
tÿǒ nzem,ebony
ngyè,echo
sìle,economist
lèʼe,economy
legÿɔʼ ndá,edge
nkʉ́ŋ,edge
ngʉ̀ŋe,edge
éshúʼte,"edge, be on"
ngʉ̀ŋe,"edge of, on the"
nkʉŋ ngwóŋ,edge of the ridge
mecʉ́ŋ,edge of the roof
ncʉ́ŋ,edge or the roof
mpfɛ̀ pfɛ̌,edible
mpfɛ̌,edible
ńkẅile ŋwèʼe,edit
nkẅìle ŋwèʼe,editor
ńtÿɔ́g,educate
zìʼi,education
