en,ngiemboon
ŋwá letuŋó,hearing
pùʼu metuŋó,hearing problem
tʉ́m,heart
lekyè mmɔ́g,hearth
shÿò mmɔ̌g,hearth
nkwɔ̀ʼ ndá,"hearth, left of"
ńnẅɛʼ,"heartily, eat"
ńkɔɔn,heartily eat
ḿbáb,heat
ńtẅi,heat up to dry out
nzaza,heavily
ńzɛ,"heavy, be"
ńcʉ́e,"heavy, be"
tʉ̂a nkáʼ,hedge
lepàa nkáʼ,hedge
nzàba,hedgehog
ntsìŋe kwò,heel
kẅɛ̀ʼ ntsíŋ,"heel, high"
kwàʼ yé,he himself
ndʉʼʉ,height
nkwɔ́ʼ,height
ntyě,height
ménkěm,heir apparent
ńgyɔ́ɔn soon,"held, poorly"
nzèmessé,hell
lepÿé mmɔ̌g,hell
káŋa twó,helmet
agyɔɔnme,help
ńkẅéte,help
ndìte ngwòŋ,"help, cry for"
ngwòŋ,"help, cry for"
ngyè tetʉ̂,"help, cry for"
ńdíte ngwòŋ,"help, cry for"
shʉ́ʼ,"help group, communal"
mvfòluʼ,hemp
