en,ngiemboon
ńkwɔ́b,snatch
ngú,sneaking
ńtsíge,sneeze
ńdeme,sniff
ńneme,sniff up
ńnyíŋe,snigger
mpfégè,snigger
jùʼu shwóŋ,snitch
ńnyeen,snivel
ńnyɛʼ,snivel
ńnyeente,snivel
mmóm,snobbish
ńzẅɛ,snore
ńkwo,snore
ńneme,snort
ńzẅíŋe mmóm,snub
púʼu,so
púʼu la,so
ńgwɔ́ gie,so
páʼa,so
púʼu,so
tà mbɔ̌,so
ńtsab,soak
ńcÿɔʼ,soak
sɔ̀g,soap
sɔ̀gɔ ntsentse,"soap, liquid"
sɔ̀gɔ mvɔ́bɔ,soap powder
ḿmʉ́ʼ,sob
aamɛɛn,so be it
nkentsyɛ̀ʼ mekwò,soccer
kùkwò,"society, k. secret"
kɔ̀ɔn,"society, k. secret"
kùʼngàŋ,"society, k. secret"
kùmnzsè,"society, secret"
setɔ̂g,sock
pʉpÿɛ́ɛ,soft
ńdwó,soften
ḿmuʼu,soften
ḿbʉ́le,soften
