en,ngiemboon
tʉ̀nzẅìŋ,expensive
ntʉ̀ nzẅìŋ,expensive
moŋo nzẅìŋ,expensive
ńcÿɔ́g,"expensive, be"
tʉ̀nzẅìŋ,"expensive, very"
ngÿò mbòŋo,expert
ńtyɛʼte,explain
ńdyɛʼte,explain
letyɛ̀ʼte,explanation
lekyɛ́ʼtè,explanation
ḿvɛ́te,explode
ḿvɛ́,explode
ńtẅag,"explode, make"
kwóonte,exploitation
gwɔ́bte,exploitation
kwóŋte,exploitation
kʉ̀e,explosion
cʉ̀me ngyè,explosion
tsɔ̀ʼɔ ngyè,explosion
kwáŋa shÿó,expression
memaʼá,extension
ntyě lepfòm,extensive
pǐ,exterior
mbyàga,exterminator
ésiɛ,extirpate
ńtsiŋ,extract
nzàʼ,extraordinary
ntsɔ̀b,extraordinary
ńkaʼ nzàʼ,"extraordinary, do"
lemaŋ,"extraordinary, something"
ndaa gyá,extraordinary thing
letwó,extremity
lejÿɔ́g,eye
máa lejÿɔ́g,eyeball
kʉ̌ŋ nÿɔ́g,eyebrow
