en,ngiemboon
ńtábte,"liquid, mix"
ńtsyágte,"liquid, pour out"
sɔ̀gɔ ntsentse,liquid soap
ŋwàʼne mezíŋ,list
ńzẅíʼte,listen
njùʼu,listener
kélɔɔn,litany
mesẅɛ̀ʼ,litigation
tyàg,little
pekʉ,little
nkɔ́g,little
syɛ̀te,little
kékɔ́gɔ,little
kʉ́,little
mentsɔgɔ́,little
yekʉ,little
tsyàg,little
wekʉ,little
mé-,little
gígyé,little
sekʉ,little
mekʉ,little
ńtsoon,"little active, be"
ńgwɔ́ wó,live
ńtsẅé,live
lepyè,liver
mbyè,liver
ńzso,live somewhere
ńgwóŋ,live somewhere
kùkwòon,"lizard, agama"
nnú mekwò,"lizard, ornate monitor"
ńnéŋ,load
ńtsɛ,load by squeezing in
paa nkàʼ,loader onto the back
bîb,"load, sound"
ésɔʼ,load too much
ńkʉ,load untidily
fùu,loan
fù,loan
cÿɔ́ʼ letuŋó,"lobe, ear"
ḿbeʼe,localize
jÿɔ̀ʼɔ,lock
