en,ngiemboon
nzìbte,candy
lekà,cane
nzàba,"cane rat, greater"
nkùnkùʼ,"cane, sugar-"
múɔ gag,canine
lème,canned termites
páŋ,"canoe, dugout"
kanúʼ,"canoe, dugout"
tsɔ́ʼnzìŋe,can opener
tsétsáʼ,"can, rattle"
jʉ̀jÿó,Cape gooseberry
ntà,capital
sẅɛ̂láʼ,capital
ńtsáb ntà,capitalize
kùkwɔ̀ʼɔ menÿɔ́g,capital letter
shʉ́shÿóndÿɔgɔ́,capsicum
pùavolóŋ,capsicum
ńtsẅíʼ,capture
matûa,car
lʉ̀me,carbohydrate
nŋwɛ̌,carbon
kɔ̀ʼte,carcass
ndèndʉ́m legǐ,"cardamon, Cameroon"
ndèndʉ́m legǐ,"cardamon, Madagascar"
ndèndʉ́m,"cardamum, Madagascar"
ḿmÿagte,care about
ḿmÿɔgte,care about
lepÿé,career
ndÿɔ̀ʼɔ,careful
