en,ngiemboon
nkẅè mvfò,elder
ńnéŋ mmɔ̌g,electrify
tẅɛ̀,elegance
shÿóo,elephant
shÿɔ́ɔ,elephant
kekàʼa,elephant grass
ntsɔ̀b wémɔʼɔ́ lé legém,eleven
ḿbyág,eliminate
ḿbeʼte,eliminate
éfÿɛ́,emancipate
ńtebe,"embarrassed, be"
ńzibte,"embarrassed, be"
ntèbe,embarrassing happening
tèbe,embarrassment
lejʉ̀ŋ mmɔ́g,embers
legÿɔ̀ʼ mmɔ́g,embers
ésẅɛ́bte,embezzle
ńŋáte,embezzle
ḿbáŋ,embezzle
ńkaŋ,embezzle
ńcúe,embezzle
ńgwɔ́b,embezzle
ésyé,embezzle
ńŋá,embezzle
ńgwɔ́bte,embezzle
ńnɔ́g,embezzle
ńgáte,embezzle
ńnɔ́gte,embezzle
ńgÿáte,embezzle
ńza,embezzle
ŋátè,embezzlement
ngàŋ gÿáte,embezzler
ngàte,embezzler
ngÿàte,embezzler
ńtẅɛ́te,embody
ḿbéle kʉ́kʉ́b,embrace
ḿmɔ́ɔn,embrace all at once
ḿmág,embroider
tɔgɔ ndá,emergency exit
kẅíŋe,emergency exit
ńkÿo láʼ,emigrate
shʉ́shʉ́m,emotion
shÿéshÿɔ́g,emotion
shʉ́shÿɔ́g,emotion
wóo ... móo,"emotion, shows"
mée,"emotion, shows"
kásà,emperor
ngɔ̀ɔn ssé,Emperor scorpion
mángɔɔn,Emperor scorpion
