en,ngiemboon
jǔɔ mvfò,yesterday
jǔɔ gẅie à ka tɔ̌g,yesterday
jǔɔ,yesterday
wetsɔ̌ júɔ,"yesterday, day before"
njÿê,"yesterday, day before"
kéen,yesterday past
nkéen,yesterday past
ka,yesterday past
kɔ̌ɔn,yesterday past
mòon,yes 
tá mbà,yet
ńtsege,yield
kɔ̌ʼ,yoke
jú,you
mè,you
gẅí,you
pi,you
mé,you
ɔ̀,you
ɔ́,you
gí,you
gú,you
gí,you also
pɔ̀gɔ,you and I
ɔ̀ɔ,you are
gí,"you, for"
gẅi,"you, for"
gẅí,"you, for"
jú,"you, for"
ɔ̀ɔ,you have
múɔ ngwàshùm,young boy
mémá,younger brother
mémá,younger sibling
nkʉŋ mefág,younger twin
nzɔ̀ʼ nkàʼ,young girl with a young married woman
púɔ shùm,young men
ngwà shùm,young people
mangɔ́ʼ,"young people, dance"
zyaga múɔ,young person
pyè,young seedling
jù,your
pi,your
jú,your
gẅí,your
mú,your
gi,your
gẅi,your
gú,your
gẅí,your
mú,your
pí,your
shú,your
gí,your
gù,your
pú,your
gẅi,your
mí,your
shú,your
jú,your
sí,your
pú,your
jù,your
sí,your
gù,your
gi,your
pí,your
gí,your
mí,your
gú,your
sɔ́gɔ̀,your and my
wɔ́gɔ̀,your and my
mɔ́gɔ̀,your and my
yɔ̀gɔ,your and my
sɔ́gɔ̀,your and my
wɔ̀gɔ,your and my
pɔ́gɔ̀,your and my
yɔ́gɔ̀,your and my
mɔ́gɔ̀,your and my
wɔ̀gɔ,your and my
yɔ́gɔ̀,your and my
wɔ́gɔ̀,your and my
pɔ́gɔ̀,your and my
yɔ̀gɔ,your and my
