en,ngiemboon
ménkěm,"king, initiation"
ndyè fùɔ,king’s nursemaid
zɔɔn múɔ,"kings, praise"
zɔɔn múɔ,"kings, respect"
cÿɔ́ʼfùɔ,king’s servant
cÿɔ́ʼfùɔ,"king, valet"
ḿbéle kʉ́kʉ́b,kiss
ésẅéʼe,kiss
ḿmɔ́ɔn,kiss all at once
sẅɛ̀ɛ kʉ́kʉ́b,kisser
ndá mmɔ̌g,kitchen
nkwɔ̀ʼ ndá,"kitchen, arrange"
mankwɔʼ,"kitchen utensil, k."
ńníagte,knead
ńniag,knead
ńtyɛ́b,knead
ńtyɛ́bte,knead
ńníag,knead
ńdáb,knead bread
pòlopólo,kneaded ground
ńdáb,knead mud
kẅiʼté,knee
ńkwíʼte,kneel
shùu kwò,knickers
kème shùu kwò,knickers
pùʼ,knife
ngwà pùʼ,knife handle
ngwɛ̌,knife handle
mbyè nkʉ̌a,"knife, k."
pùʼ levfo,"knife, sculptor’s"
mépùʼ,"knife, small"
mbyè nkʉ̌a,"knife, wine grower"
