en,ngiemboon
sẅɛ́ɛ,wedding
ńzso,wedge
ńdéʼe,wedge
páa,wedge
fɔ̌ɔn,"wedge, log splitting"
míndèlèwɔg,Wednesday
tsètsɛ̀ɛ lyɛ̌ʼ,Wednesday
ńkwóŋte,weed
éshú,weed
ńtsẅíʼte,weed around peanut plants
nzẅíŋ,weed 
nkwɔ́b,"weeds, cleared"
njʉ́ʼnzse,"weed, sp"
ntàŋshʉ̀ŋ,"weed, sp."
zyé pàŋ nzèm mɔ́ʼɔ,"weed, sp."
mekɔ̌ɔn,"weed, sp."
legǐ ngǐm,"weed, sp."
legǐ mbí,"weed, sp."
tsétsyɛ̌,"weed, sp."
gàŋagáŋa,"weed, sp."
lejúʼu ngẅi,"weed, sp."
shʉ̀shʉ̀a mêngwé,"weed, sp."
gúʼunɔ̀ɔn,"weed, sp."
letse mánzsè,"weed, sp."
kekwóŋ,"weed, sp."
mbaʼá,"weed, sp."
ntúlesẅɛ,"weed, sp."
mbàgapǐ,"weed, sp."
mákʉmte púɔ nzóŋ,"weed, sp."
ntàŋsìŋ,"weed, sp."
jʉ̀jÿó méshʉŋ,"weed, sp."
tsétsɛ̌,"weed, sp."
pàŋ nzèm mɔ́ʼɔ,"weed, sp."
kùkwóŋ,"weed, sp."
kÿɛɛ nɔ̀ɔn ndóŋ,"weed, sp."
lepʉ́méshʉŋ,"weed, sp."
mákemte púɔ nzóŋ,"weed, sp."
feláʼ,"weed, sp."
kénʉʼ ssé,"weed, sp."
ngẅi lelaŋ,"weed, sp."
sìsìŋ,"weed, sp."
gúʼu nɔ̀ɔn panzwě,"weed, sp."
lezse mánzsè,"weed, sp."
ndẅɛ̀,"weed, sp."
lelaŋ ntse,"weed, sp."
tétɔgɔ́,"weed, sp."
lelàb,"weed, sp."
pàʼ,"weed, sp. dried"
nkwɔ́b,"weeds, pile"
lejúʼ,weeds used for treatment
ngàb,week
gegàŋa nkèsàŋ,"week, chocolate"
shÿàʼcʉ̀ʼʉnzàʼa,"week, traditional"
shÿàʼnzème,"week, traditional"
ngaŋá,"week, traditional"
mándunzse,"week, traditional"
nzèmenzème,"week, traditional"
metʉanzse,"week, traditional"
ngàba láʼ,"week, traditional"
nkwɔʼshʉ̌a,"week, traditional"
cʉ̀ʼʉnzàʼa,"week, traditional"
njÿonzse,"week, traditional"
shÿàʼngaŋá,"week, traditional"
pùm,weevil
éfʉʼ,weigh
ńcʉ́e,weigh
ncʉ̀e,weight
éshÿɔ́bte,"weight disproportionately, put on"
ńtsém,"weight, gain"
ḿmÿɛ́te,"weight, gain"
ńdóŋte,"weight, lose"
ńŋaŋ,"weight, lose"
ńdẅéte,"weight, lose"
ńtsẅíʼte,weigh up
zsé letó,welcome
mbòŋ,well
mboŋó,well
ntse ntǔŋ,well
