en,ngiemboon
ńgág,find intolerable
ńgyáte,find oneself
ḿbíge,find out
toló ntsí,fine
múɔ tepwó,finger
tepwó,finger
ndóŋ,"finger, banana"
ntsáŋ,"finger, extra"
sẅìi tepwó,"finger, index"
lejwoŋó,finger joint
ésẅí,"finger, lick with"
ńjʉ́ŋ,"finger, lick with"
mentsě tepwó,"finger, little"
tsẅǐd,"finger out of mouth, sound"
ńtse,"finger, poke"
sèsàʼ kwɔb,fingerrush
ntóŋ mbwó,fingers
ńzẅɛ́ʼte,"fingers burnt, get one’s"
twó tepwó,fingertip
ḿmege,finish
ḿmag,finish
ḿmite,finish
ńcú,finish
ńcʉ́m,finish
ńtsẅé jʉʼ,finish
ḿmege,finish a job
mmɔ̌g,fire
ńkÿó,"fire, catch"
mmɔ̌gnè,firefly
ḿbʉ́ŋ,"fire, make a bit"
ntsìb,"fire, one who takes something out"
shÿò mmɔ̌g,fireplace
