en,ngiemboon
pwó,hand
ngʉ̀ŋe pwó,"hand, angle"
ńkwɛ́ɛ pwó,"hand, attach by"
nzème pwó,"hand, back"
nkentsyɛ̀ʼ mbwó,handball
ngʉ̀ŋe pwó,"hand, border"
ńtɔ́ɔn,"hand, catch by"
ńkɔ́ɔnte,"hand, catch in palm"
éshʉ́ʼte,"hand, crease in one’s"
kwɔ̀g,handcuff
ngàg tepwó,hand fork
ńcʉ́ŋe,"hand, hold"
mmó nzso,handkerchief
ngwà,handle
lelíb,handle
pwó kyɛ̀bɛ,"hand, left"
nkòonte,"handle, hoe"
nkɔɔn,"handle, k. basket"
tánkɔɔn,"handle, k. basket"
ngwà pùʼ,"handle, knife"
ngwɛ̌,"handle, knife"
ngwà nně,"handle, machete"
ngwɛ̌,"handle, machete"
ńkubte,handle messily
ńkubte,handle messily
ngàg,handle of a sling
fʉ́a,"handle, spear"
ḿbwóte,"hand, make do with what’s at"
ntsaŋ,hand of bananas
lɔ̌ɔn pwó,"hand, palm"
