en,ngiemboon
lesɔgɔ́ nnɛ́,shower
ńnáte,show off
nnyuŋe,show-off
nùŋe,show-off
nnùŋe,show-off
ḿmág,show one’s colours
éshuʼ,show oneself
ésyɛ́b,show oneself
ńtsyagte,shred
sìɛte,shredder
ndÿòon menkǐb,shrewd
sẅì,"shrew, musk"
sòŋo ncwò cʉ̀cʉ̀a,"shrew, sp."
ncwò cʉ̀cʉ̀a,"shrew, sp."
sẅísẅíi,"shrew, sp."
ntsɔ̀ʼ ngɔ̌ɔn,"shrike, puffback"
kéléndeŋ,"shrike, puffback"
lengɔ̀ʼɔ,"shrike, puffback"
kukúkukúku,"shrike’s call, puffback"
ńtʉ́ate,"shrill, be"
ńŋúʼte,shrivel
ńdoŋo,shrivel up
ńkẅáŋte,shrivel up
ńgẅáŋte,shrivel up
melẅè,"shrub, sp."
mbepwó,"shrub, sp."
éshʉ́ŋ,shudder
éshúʼte,shudder
nkyɛ̀,shutter
kwalákwàlà,shutter
mvèmvfò,shutter
kʉ̀ŋe ndá,shutter
vwɔ̀ʼɔ,shutter
ńtúŋte,"shutter, join bamboo"
kùa pɔ̀ɔn,"shuttle, weaver"
ngàŋ shʉ́,shy
tsẅì,shyness
gwèle sẅɛ̀ʼɛ,siala
sɔ̀bɔntsì,"sibling of the chief, older"
mɔ́ɔn fùɔ,"sibling of the chief, younger"
