en,ngiemboon
nzẅìŋe,old person
mbìndàŋ,olive baboon
á,on
na,on
ndùm,on
nê,on
mǒ,on
ńzébe,"on, be"
tàʼ,one
yémɔʼɔ́,one
mè,one
mákìkyè,one
sélémɔʼɔ́,one
mmɔ́ʼɔ,one
mé,one
wémɔʼɔ́,one
mákyè,one
pi né pi,one another
ńgwó,"one, choose only"
pyè lejÿɔ́g,one-eyed
kíkyè,one of something
nyɔ́ɔnsè,onion
ńdàʼ,only
ndàʼ,only
pɔ́,only
ńdaʼ páʼ,only at
ményaŋ,only just
ndùm kǔ,on top of the bed
ńkwɔgɔ,ooze
ńnyɛ́ʼ,open
ńtsɔ́ʼ,open
ńkyeen,open
ńtsɔ́ʼte,open
ésiɛ,open
ḿvwɔʼ,open
éfʉate,open greatly
éfʉa,open greatly
ńŋáʼte,"open, half"
ńnyɛ́ʼte,open here and there
shʉ̀a,opening
shʉashʉa,openly
shÿéshÿe,openly
éshÿéeshÿée,"openly, do"
éshʉashʉa,"openly, do it"
ńdáŋa le nkwáʼ,"open-mouthed, be"
ńŋáʼ ncwò,open one’s mouth
ńŋáʼ,open one’s mouth
