en,ngiemboon
kikíi melùʼ,"wine, bad"
melùʼ nkandi,"wine, banana"
mbwɔ̀ʼɔ,"wine, calabash"
ntúʼ,"wine, calabash"
kàʼa,"wine, calabash"
gʉ̌ nkʉ́a,"wine, calabash for"
kwàtà,"wine, corn"
ésẅí,"wine, drink"
ntwo melùʼ,"wine, first collected"
ndʉ̀ŋ nkʉ̌a,wine grower
ndʉ̀ŋ melùʼ,wine grower
ndèŋ nkʉ̌a,wine grower
mbyè nkʉ̌a,"wine grower, knife"
mbùʼ,"wine, k."
hà,"wine, strong"
lyagá,wing
lepab,wing
ńjÿóte,win here and there
ńkaba lejÿɔ́g,wink
ḿmyɛʼ,wink
ḿmyɛʼ lejÿɔ́g,wink
kàba lejÿɔ́g,wink
ḿvɔb,wink
ḿvɔbte,winnow
ḿvom,winnow
ḿvɔb,winnow
fÿàg,winnower
éfÿág mezẅé,wipe one’s nose
ngyě,wire
nkÿo tʉ́,"wire, steel"
legye,wisdom
zsé nò,wisdom
ngye,wise
ntsàʼ múɔ,"wishes, according to"
ngàŋ shʉ̀a,witch
ngàŋ lekàŋ,witch
né,with
mbɔɔ né,with
lé,with
pâ,with
lâ,with
ńdɔg,with
lɔgɔ́,with
ńkẅile,withdraw
éfÿɔ́g,withdraw
