en,ngiemboon
tèm lemʉʼ,"gain, ill gotten"
kɔ yɔ́ɔn áa mǒ,"gain nothing, I"
ńtsém,gain weight
ḿmÿɛ́te,gain weight
megiŋé,gait
kwɔ̀ʼ kwɔ̀ʼ,"gait, improper"
tsẅíŋ,"galago, Senegal"
nkɔ̀ʼ,gallery
kábte,gallery
kɔ̀ʼ,gallery
ncʉ̀ŋ,gallery
lemù,gallery
nkáŋ nkyɛ,"gallery, official"
mpfɛ̀ mvòm,gallinacean 
nkendɔ́ʼ,gallon
kètsɔ̀ʼ,gallop
nkwèen,gamble
lekwɔɔn,gamble
ngʉngʉ́ŋ,"game, card"
làʼa,"game, goodbye"
pyɛ̀b,"game, k. child’s"
kàsàʼa,"game, k. child’s"
tɔ́ɔn mbÿé,"game, k. pastime"
ngwɔ̀,"game, k. woman’s"
pyɛ̀b,"game, nuts"
njámbù,game of chance
mánkɔ̌ɔn nkàndóŋ,game of hide-and-seek
tém ntɔɔn,"game, pastime"
megʉa,games
kàsàʼa,game to be able to eat
mà,gandoura
ntɔ̀ɔn,gap
