en,ngiemboon
sɔ̀bɔ mbyɛ́ʼte,staple
cÿɔ́ʼsaŋ,star
tsẅé nɔ̀ɔn ndóŋ,starbur
éfuʼe,"starchy, be"
cʉ̀,stare
ḿmɔg,stare wide-eyed
ńtíɛte,stare wide-eyed
ḿmɔgɔ,stare wide-eyed
ngénʉ̀ŋ,"starling, short-tailed glossy"
ńkɔ́ʼ mmɔ̌g,start
ḿbuʼ ssé,start
letsìŋ,start
ńzye,start
ésíʼi,start
ńzyete,start
ńdyɛ,start a fire
ńtẅɛ́te,start a revolt
ndwó,"start, at the"
ntwo ntwó,"start, at the"
ngʉagʉa,starter
ngʉa,starter
nyǎŋ,starting signal
kényǎŋ,starting signal
ńkíg,start 
nkùte,"starts a fight, one"
ńdẅɛ́te,start searching for
ńnéŋ mmɔ̌g,start 
tútú,statue
kʉ̀kʉ̀,statue
tyétyé nkwɔ̀ʼ,statue
tétyé nkwɔ̀ʼ,statue
mezɔgɔ́,stay
ńnéŋe,stay
ńzɔ́g,stay
ḿvwɔʼɔ,stay
ńtséʼe,"stay, not want"
ńcÿé jʉʼ,stay quiet
ńnéŋe lecwòŋ,stay without doing
ńnéŋe lecwòŋ,stay without speaking
ésoŋ,steal
ḿbí ténuŋe,steal
ḿbíte jʉʼ,steal
ńza,steal
ńjʉte,steal from time to time
