en,ngiemboon
ńtsébe,taste the first fruits
mága,tattoo
legẅè,taunt
mpfégè,taunt
tágsè,tax
ncùb,tax
ésáʼ,tax
nkẅè ncùb,tax collector
tí,tea
túʼtoŋ,"tea bush, wild"
ntsèen,teacher
nzìʼi nyìŋ,teacher
ntsyèen,teacher
ngàŋ ntÿɔgɔ́,teacher
ntsèen,"teacher, primary school"
nzìʼi nyìŋ,"teacher, primary school"
ntsyèen,"teacher, primary school"
tsítsà,"teacher, primary school"
láʼa ncÿɔ̀b letuŋó shÿoo,"tea, Japenese"
tsyàgte,tear
ésiɛ,tear
ńkyagte,tear
ntse nÿɔ́g,tear
tsàgte,tear
éshʉa,tear
ńkyag,tear
letse lejÿɔ́g,tear
shʉ̀ate,tearer
ńkɔɔn,tear out
zyɛ́ʼ kʉŋ,"tear, smallest"
ńkwote,tear themselves out
ńkwoe,tear themselves out
ńgwate,tear to pieces
éshʉate,tear to pieces
ńkibte,tease
éssóte,tease
ḿbʉŋte,tease
láʼa ncÿɔ̀b letuŋó shÿoo,"tea, senna"
ngàŋ levfò,technician
levfò,technique
ngÿǒ,technique
ńkoon,"teeth, devour with one’s"
ńkɔɔn,"teeth, devour with one’s"
kẅíkẅíle,telephone
lùŋ nÿɔ́g,telescope
jùʼu ngyá,television
ńdɔʼte,tell
ḿbíte,tell
