ngiemboon,en
sílépà,ancient money
sílípà,ancient money
késiŋ,club
késiŋ, bludgeon
siŋ,club
siŋ, bludgeon
sìŋ ndù,suffix
Sìŋ ndù «‑te» gyɔ́ɔn na ngiembɔɔn tɛʼ.,The suffix “‑te” is very common in Ngiemboon.
Sàŋa,Bamessingue
Sìŋa,Bamessingue
síŋe,tropical chickweed
síŋe,when
Ɔ̀ ge gʉa síŋe?,When are you going to leave?
sésse,vertigo
síŋe,vertigo
sìŋe,elastic
sìŋe, sling
sìŋe, slingshot
síŋesǐŋ,dirty
síŋesǐŋ, obscure
síŋesǐŋ, dark
síŋesǐŋ, sombre
Nzsǒ gie à mǎʼ e ne síŋesǐŋ.,The clothes he wore are dirty.
lesìŋte,correction
lesìŋte, recovery
sìŋte,correction
sìŋte, recovery
sísí,lipid
Mevɛ́ letÿǒon gẅiin sísí tɛʼ.,Palm oil contains a lot of lipids.
sìsíi,glow
sìsíi, glimmer
Yɔɔn sisíi nèm gie á tʉ́a.,"Here, it is the glow of the sun that shines."
sésilé,longhorn beetle
sísilé,longhorn beetle
sìsìŋ,sp. weed
sìsìŋ,broomweed
sìsìŋ,venom
sìsyè,string
sìsyè, thread
sitolóŋ,lemon
sitolóŋ, lime
síʼ,very  hard
Atÿǒ tʉʉ lê síʼ.,The tree is very hard.
shǔ,friend
sǒ,friend
sɔ̌,saw
sǒ,saw
mekú ndÿɔgɔ́,soya bean
sójà,soya bean
lʉ̀mte,sugar
sókà,sugar
súlúmákà,shoemaker
súlúmákà, cobbler
sólómákà,shoemaker
sólómákà, cobbler
sólópáasè,sandal
lyɛʼɛ́ sẅíŋtè,Sunday
sóndi,Sunday
