ngiemboon,en
mbùb,poisoner
mbùb, one who curses
Megàŋ lekàŋ ée papúbo mmó etsɔ́ té wó wɔ́.,Wizards are formidable poisoners.
ḿbúb,spoil
ḿbúb, curse
ḿbúb,curse
ḿbúb, refuse
ḿbúb,spoil each other
ḿbúb, destroy
mbùbte,stammerer
ḿbubte,stutter
mbùd,ignorant person
mbùd, silly person
mbùd, fool
mbǔe,stupidity
mbǔe, animal
ḿbue,become confused
ḿbue,talk nonsense
ḿbue,  rot someone’s brains
ḿbue, stun
mbum,eggs
mbúm,cowry shells
mbùm,body
mbùm, trunk
ḿbum,suffice
ḿbum,suit
ḿbum, fit
ḿbum, accomplish
ḿbum,circumvent
ḿbum, go around
ḿbum,meet
mbùm ngyaŋgyǎŋ,ache
mbùm nnɛ́,body
mbùm nnɛ́,trunk
ndʉ̀ nnú,sp. boa
mbùmɔ̀ɔn,sp. boa
ḿbúte,gather together
ḿbúte, assemble
ḿbúte, join
ḿbúte,receive communion
ḿbúte,sue
À puté metsǒŋ nɔʼ.,He filed a complaint against the bandits at the chiefdom.
mbuʼ,concession entrance
mbùʼ,cold chisel
ndùm ndùm,k. mortar
mbùʼ,k. mortar
mbùʼ,k. wine
mbǔʼ,innocent person
ḿbuʼ,pierce
ḿbuʼ,definitely buy
ḿbuʼ,to start 
ḿbuʼ, start
ḿbúʼ,beat
ḿbúʼ, hit
ḿbúʼ,applaud
ḿbúʼ, clap your hands
ḿbúʼ,click your tongue
ḿbúʼ,circumcise
ḿbúʼ,tap
ḿbúʼ,applaud
ḿbúʼ,become deaf
ḿbúʼ,suffocate
ḿbúʼ, make the last efforts
ḿbúʼ, to bang
mbǔʼ metuŋó,deaf person
tàmbǎʼ,dumb
tàmbǎʼ, speechless
mbùʼ ncwò,dumb
mbùʼ ncwò, speechless
