ngiemboon,en
múɔ púʼ ntʉ̀,lion cub
múɔ sèm,k. cylindrical drum with a nailed skin head
múɔ tekwò,toe
múɔ tepwó,digit
múɔ tepwó, finger
múɔ tepwó, toe
múɔ tsɔb,African civet kitten
muwɔɔn,neighbourhood chief’s plot of land
muwɔɔn, large plot of land
mùʼ fáŋ,punishment by ordeal
mùʼ mbùm,k. disease
mùʼu,creator
ḿvab,put air in
ḿvab,ventilate
mváŋ,crystal
mváŋ, quartz
mváŋ, crystalline
ḿvebe,bruise
mvège,influence
mvège, threat
ḿvege,frighten
ḿvege, scare
ḿvege, jump
ḿvele,fuss over
ḿvéle,erase
ḿvéle, falsify
mvemváŋ,potassium
mvemváŋ, potash
mvèmvɛ̀,hair
mvèmvfò,windbreaker
mvɛ̀,woven rope
ḿvɛ,tremble
ḿvɛ, shake
ḿvɛ́,explode
ḿvɛ́, gush out
ḿvɛ́,rumble (thunder)
ḿvɛ́,burst
ḿvɛ́,spring
mvɛ̀d,mvet
mvɛ̀d, idiochord bar-zither
ḿvɛte,blather
ḿvɛte,make an error while subtracting
Pɔ́ zɔ̌b leluŋó tà ḿvɛte.,They sang the music until they broke out.
Mé těen sáŋa wémɔʼɔ́ ḿvɛte wɔ́.,You can't make a mistake by counting one.
mvfǒ,sp. vitex
mvfě,sp. vitex
