ngiemboon,en
mbʉpʉ́,sp. plant
mbepÿɛ́,sp. plant
mbèshʉ̌a,slap
malʉ́ŋ,k. cultural dance
mbèyà,k. cultural dance
malʉ́ŋ,roll
malʉ́ŋ, trill
mbèyà,roll
mbèyà, trill
mênjwò ,groundnut (generic)
 péli,groundnut (generic)
mbeyáŋ,groundnut (generic)
mbèʼe,one who channels
mbèʼe,one who separates
ḿbeʼe,canalize
ḿbeʼe, localize
ḿbeʼe,reserve
ḿbeʼe, separate
ḿbeʼte,expel
ḿbeʼte, exclude
ḿbeʼte, eliminate one after the other
Mbɛ̀ɛ,Majesty
Mbɛ̀ɛ, yes (honorary)
"Afùɔ lɔɔn ńtóŋo gú, ɔ̀ zẅíŋ lê Mbɛ̀ɛ.","If the king calls you, you accept by saying “Majesty”."
mɛ̌ʼ,bleat of a sheep
mbɛ̌ʼ,bleat of a sheep
mbí,pentatomid bug larva
mbì,man’s rib
mbì,blade
mbì, spring
mbì,tuberculosis
mbǐ,lad
mbǐ, guy
ḿbí,take
ḿbí,pick up 
ḿbí, take here and there
ḿbí,tell 
ḿbí, tell
ḿbí,plead
mbí melùʼ,alcoholic
mbí melùʼ, drunk
ḿbí ténuŋe,steal
mbíd,very black (night)
"Saŋ te ne ńtʉ́a wɔ́ péʼe, ejʉʼ síŋ lê mbíd lêtsẅɛʼ.","When the moon does not shine, it is very dark at night."
mbìle,one who removes the pulp
mbìd,one who removes the pulp
"Mekú mɔɔn, ambìle gwɔ́ nzɔ̌?","Here is the bean, where is the one that pulps?"
mbìd,pus
ḿbid,invert
ḿbid, change the meaning
ḿbid,peel
ḿbid,fold into concave shape (eye)
mbíɛ,k. purification decoction
ḿbiɛ,flatten
"Mekú lɔɔn te tʉ mboŋó wɔ́, é júm ḿbiɛ piɛ.","If the bean is not fully mature, it will be flattened when it dries."
ḿbíɛ,water
ḿbíɛ, sprinkle
ḿbíɛ,bless
