ngiemboon,en
mbÿɛ̀ njÿó,afternoon
ḿbÿɔb,screw up one’s mouth
mbÿag,raw
mbÿag, uncooked
mbÿɔg,raw
mbÿɔg, uncooked
ḿbÿág,spoil
ḿbÿɔ́g,spoil
ḿbÿág,make a sad face
ḿbÿág, look sad
ḿbÿág, sadden
ḿbÿág, annoy
ḿbÿɔ́g,make a sad face
ḿbÿɔ́g, look sad
ḿbÿɔ́g, sadden
ḿbÿɔ́g, annoy
ḿbÿágte,crease
ḿbÿɔ́gte,crease
me,those of (possessive pronoun referring back to class 4 and 6 nouns)
Mepɔ̀ɔn mɔ́ɔn pɔ́ me ncʉ̀ʼ nzèm wɔɔn mɔɔn.,Here are my bags and those of my younger brother.
me-,some
"mekwɔ̀ʼɔ,",stools.
mé,(far in the past)
"A la mé ńgwɔ́ tsɔ̌ fʉ̀ʼ, ...","At some point (far in the past),..."
mé,his (third person singular possessive pronoun referring back to class 4 and 6 nouns)
mé,his (third person singular possessive adjective modifying class 4 and 6 nouns)
mé,his (third person singular emphatic possessive adjective modifying class 4 and 6 nouns)
mé,for him (third person singular possessive object pronoun referring back to class 4 and 6 nouns)
"Mekwɔ̀ʼɔ mɔɔn, ée mé.",These chairs are his.
Mencwò ndá mé tyé tyě.,Its doors are open.
"Mèŋ n kaa mɔ́ɔn mekwɔ̀ʼɔ kaa, n kǎa pɔ́ mé mekwɔ̀ʼɔ.","I didn't carry my chairs, I carried his chairs instead."
"Gʉa na melÿɔʼ mɔɔn, ḿbí mé.",Take some of these yams for him.
mè,one
mè, you
mé,one
mé, you
Mé tyě jʉʼʉ ńgÿo kɔ́?,What did we stop there to do?
mên-,small
mên-, little (diminutive prefix)
mé-,small
mé-, little (diminutive prefix)
mé,one
mé, you
mè,one
mè, you
Ɔ̀ gɔɔn fʉ̀ʼɔɔn ngie mè gÿo lêkɔ́?,Now you say what do we do?
mé gÿo ńzyé Yěsô,After Death (of Christ)
mé gÿo ńzyé Yěsô, A.D.
mé zyé Yěsô,Before Christ
mé zyé Yěsô, B.C.
mecʉ́ŋ,edge of the roof
mecwoŋó,bottom
mecwoŋó, base
"Sẅɛʼte pɔ̀ɔn, ńtÿɔ́gɔ gwǒŋo mecwoŋó.",Move the bag and place it on the bottom side.
mée,(shows emotion)
Yée míŋ wɔ̀ɔn mée! ɔ̀ lʉ̌a tà nÿɔ́g mú kwɔ́ʼte.,O my son! You cried so hard that your eyes bulged.
meen,despite
meen, in spite of
meen,passable
meen, acceptable
meen, good enough
"À ka tè wɔ́ɔn gú, táʼ, mèŋ n ge meen gʉa.","He didn't invite me, but I'm going to leave anyway."
Yɔɔn náʼa meen na gi.,This is passable compared to that.
meen ngẅiin,maintenance
meen ngẅiin, temporary
meen ngẅiin, provisional
mefág,twins
mefagá,joint
mefagá, fork
mefagá, pitchfork
meféfɔ́gɔ,white
meffo tÿó,foliage
meffo tÿó, leaves
mefwóon,brain
mefóon twó,brain
mefɔ́gɔ,white
mefɔ́gɔ, off-white
Pɔ́ jǔ mefɔ́gɔ ngáb.,They bought the white chickens.
