ngiemboon,en
ncʉ̌,sp. insect
lecʉ̌,sp. insect
lecʉ́a,cutting
lecʉ́a, end
lecʉ́a pwó,distal phalanx
lecʉmé ntse,mouth
lecʉmé ntse, mouthpiece
lecʉmé ntse, estuary
lecʉmé ntse, delta
lecʉŋé,hair slide
lecʉŋé, barrette
ncÿó ,buttock
 leság,buttock
lecwoŋ,buttock
lecÿɔ́ʼ,shelf
lecÿɔ́ʼ, table
lecÿɔ́ʼ, desk
lee,(far from speaker)
N tsyɛʼté lee!,"I salute you (you, over there)!"
lêe,(very long time in the past)
À ně ńdáʼ ńgʉa lêe.,He left a long time ago.
ńdeen,suddenly
ńdeen, immediately
ńdeen, quickly
leen,suddenly
leen, immediately
leen, quickly
"Pɔ́ tǒ, ńdeen ńgʉa pɔ́ fʉ̀ʼó.","They came, immediately, they left."
ndéen,emphatic perfective counter-expectation distant past
léen,emphatic perfective counter-expectation distant past
Gubé yé léen ńgwáʼa yé ńgʉa lé túm metsèm.,His children all abandoned him to go abroad.
tàʼ lefág ,one of the twins
 málefág,one of the twins
lefág,one of the twins
lefegé,joint (generic)
lefagá,joint (generic)
lefegé,interchange
lefegé, crossroads
lefagá,interchange
lefagá, crossroads
lefegé nzsè,interchange
lefegé nzsè, crossroads
lefagá nzsè,interchange
lefagá nzsè, crossroads
lefáŋ,size
lefáŋ,glory
lefàŋ,sky
lefàŋ, firmament
lefàŋ,thunder
lefàʼ,search
lefàʼ, research
lefaʼá nò,research place
lefagá,joint (generic)
lefegé,joint (generic)
lefagá,interchange
lefagá, crossroads
lefegé,interchange
lefegé, crossroads
lefagá nzsè,interchange
lefagá nzsè, crossroads
lefegé nzsè,interchange
lefegé nzsè, crossroads
leffo,feather
leffo,anthill
leffo tÿó,foliage
leffo tÿó, leaves
lefǒ,origin
lefǒ, provenance
lefǒ, source
lefomó,k. musical instrument made of two calabashes and used for twin’s ceremonies
lefomó,musical orchestra used for the twin’s ceremonies
