ngiemboon,en
mângoŋ kéloŋ,sp. vine
mânkoŋ kéloŋ,sp. vine
Néŋ membaŋ mânkoŋ kéloŋ tsɛ̀ɛ lâm ńdɔg sɔg.,Put the grains of “mânkoŋ kéloŋ” in the lamp to wash (the inside).
mánkɔ̌ɔn nkàndóŋ,hide-and-seek game
mânkɔ́ʼ,potato (generic)
mânkɔ́ʼ féfɔ́gɔ,sweet potato
mânkɔ́ʼ mêngwé,swamp morning-glory
mankwɔʼ,k. cultural dance
mankwɔʼ,k. kitchen utensil
mánkẅè,obstetrician
mánkẅè, midwife
mankẅíŋ,pillager
mánkÿɛ̌,measles
mánkÿo melÿɔʼ,sp. insect
lemvwɔ̀ʼɔ,plantain with thick fingers
mántǒ,plantain with thick fingers
mántsab,wet-nurse
mántsab, guardian
mánǎŋntsàʼ,moss (generic)
mantsàʼ nkendʉ́ŋe,moss (generic)
mantsɔ̀b,original
mantsɔ̀b, superb
mantsɔ̀b, arrogance
mantúm,newspaper
mantúm, informational bulletin
mantúm,messenger
mántùʼ kěm,organizer of a rite of twins
tégé kẅé,mini bikini
tégé kẅé, g-string
mántÿɔʼ,mini bikini
mántÿɔʼ, g-string
tégé kẅé,k. cultural dance
mántÿɔʼ,k. cultural dance
manúa,acacia
mánʉnʉʉ (ndá),one who craps in the house
mánẅile,contempt
mánènẅèen,sp. furry caterpillar that stings
mánẅìnẅì,sp. furry caterpillar that stings
mânyìŋ ntsèm,anyone
mânyìŋ ntsèm, everyone
Mânyìŋ ntsèm aa láʼɔɔn ńne ńzsé léshwóŋo ngiembɔɔn.,Anyone in this village knows how to speak the Ngiemboon language.
