ngiemboon,en
ḿmag,finish
ḿmag, terminate
ḿmag,reconcile
ḿmág,embroider
ḿmág,show one’s colours
ḿmág,mask
ḿmaŋte,nibble
ḿmaʼ,subscribe
ḿmaʼ, contribute
ḿmaʼ,get dressed
ḿmaʼ,sin
ḿmaʼ,to beg
ḿmaʼ,have fun
ḿmaʼ,cross
ḿmaʼ,bloom
ḿmaʼ,wave
ḿmaʼ,throw
ḿmeen,even so
ḿmeen,despite
ḿmeen, hardly
ḿmeen, reluctantly
ḿmeen, passably
"À kaa wɔ́ɔn guu táʼ, mèŋ n ge meen gʉa.","He didn't invite me, but I'm going to go anyway."
"Mèŋ m pfɛ́ɛ páʼɔɔn, ḿmeen meen.","I eat like that, despite (my will)."
ḿmege,finish a job
ḿmege,finish
ḿmʉ́ŋ,go bad
ḿmʉ́ŋ, go mouldy
ḿmʉ́ŋ, rot
ḿméŋ,go bad
ḿméŋ, go mouldy
ḿméŋ, rot
ḿmeŋe,disappear
ḿmeʼe,be deep
ḿmi,swallow
ḿmi,devour
ḿmi, swallow quickly
ḿmi,finish
ḿmíŋe,greet
ḿmíte,thread your way in between
"N ka gyá nnú, é kÿo ḿmíte tsɛ̀ɛ megǐ.","I saw the snake, it fled to slip through the grass."
ḿmiʼ,shake (hip)
ḿmiʼ,shake
ḿmiʼ,shake (hips)
mmó,thing
mmó, object
mmó, subject
mmó fàʼ,supply
mmó láʼ,commune
mmó lejÿó,food
mmó mbÿɔ́g,rising (food)
mmó metʉ̌a,goods
mmó metʉ̌a, merchandise
mmó ndʉŋ,target
mmó nzso,fabric
mmó nzso, handkerchief
mmó tepòŋ,monster
mmó tepòŋ, demon
"Nzèm sǐŋ, à mmó tepòŋ giŋ.","When it's dark, the monster walks."
mmóm,snobbish
mmóm, ambitious
À gɔ̌ɔn ne fɛ̌ we ngie aa ngàŋa mmóm.,He told his brother that he is a snob (ambitious).
ḿmóm,amass
ḿmóm,total
