ngiemboon,en
mekú káŋa mekéle,sp. speckled beans
mekú gwág ,cowpea seed
mekú gwág , black-eyed pea seed
 mekú múɔ láʼ,cowpea seed
 mekú múɔ láʼ, black-eyed pea seed
mekú koké,cowpea seed
mekú koké, black-eyed pea seed
mekú léesè,rice
mekú mágmág,sp. bean
màtítí,sp. red bean
mekú maki,sp. red bean
káŋa mekéle,sp. speckled beans
mekú mentsáʼa,sp. speckled beans
mekú gwág ,cowpea seed
mekú gwág , black-eyed pea seed
 mekú koké,cowpea seed
 mekú koké, black-eyed pea seed
mekú múɔ láʼ,cowpea seed
mekú múɔ láʼ, black-eyed pea seed
sójà,soya bean
mekú ndÿɔgɔ́,soya bean
mekú pepàŋ,sp. red bean
mekú sséssé,sp. black bean
mekùʼ,honour
mekùʼ, respect
mekʉ,small
mekʉ, little (qualifying class 4 and 6 nouns)
mekʉ̀a,gunpowder
kʉ̀ŋe,scraps
kʉ̀ŋe, waste
kʉ̀ŋe, dung
kʉ̀ŋe, manure
mekʉ̀ŋe,scraps
mekʉ̀ŋe, waste
mekʉ̀ŋe, dung
mekʉ̀ŋe, manure
mekʉ̀ʼʉ mekʉ̀ʼʉ,diagonally
Á té poŋo lézyɛʼɛ lǎŋ mekʉ̀ʼʉ mekʉ̀ʼʉ wɔ́.,It is not good to cross the road diagonally.
mekwoŋ,tribe
mekẅǐ,skeleton
mekẅǐ, bone
mekyè,divorce
melabá,used water
melabá, dirty water
malàntê,k. cultural dance
melàntɛ̂,k. cultural dance
melaŋ,k. ritual
Aguɔ nweʼé gú tà ɔ̀ ge gʉa mbʉ̀a mé záʼ melaŋ mú.,The illness has threatened you so much that you will go to the village for a rite.
mélàŋa,slate
melàʼ,struggle
melàʼ, wrestling
melàʼ, fight
melàʼ, brawl
mélàʼ,because
Múɔ wɔɔn tʉʉ twó mélàʼ shǔ we wɛ̂.,This child is stubborn because of his friend.
mélàʼa kɔ́,why
Mélàʼa kɔ́ ɔ̀ těen ḿpfɛ́ɛ mmó wɔ́?,Why aren't you eating?
