ngiemboon,en
mesètɔ̂b,stairs
mesètɔ̂b, staircase
meshùm,beauty
meshùm, adornment
mencʉ̀a,small space of time
meshʉ̀a,small space of time
N ge gẅiin meshʉ̀a é tó.,I will come when I have a little space of time.
mencʉ̀a,small hole
meshʉ̀a,small hole
mencʉ̌a,vertical animal horn whistle
méshʉa,vertical animal horn whistle
shʉ́ŋ,bird (generic)
méshʉŋ,bird (generic)
méshʉŋ lùm,white-throated bee-eater
méshÿɔ́ʼɔ,how many ...? (question for nouns from classes 4 and 6)
Pʉ̀a méshÿɔ́ʼɔ kaa cúʼtè?,How many people were at the meeting?
mesẅé,new (modifies class 4 and 6 nouns)
À tÿɔ̌g mekwɔ̀ʼɔ mesẅé ndá yé.,He put the new chairs in his house.
mesẅɛ̌,avenue
mesẅɛ̌, corridor
mesẅɛ̀ʼ,disputes
mesẅɛ̀ʼ, litigation
métá,three (modifying class 2 nouns)
métá,stepbrother
metagá,shop front
metagá, entrance
métàʼ ntse,affluent
métòŋ,sunbird (generic)
métòŋ," ""hummingbird"" (in local English)"
metoŋó,recessed
Aa metoŋó nÿɔ́g.,His eyes are sunken.
métoon,small pebble
métsàʼ,sp. bird
métsàʼ,k. musical instrument
metse,blood
metsèm,all (qualifies class 2 nouns)
Tsẅii pʉ̀a metsèm tó.,Tell everyone to come.
metsì,gonorrhoea
metsì, syphilis
metsì ntʉ̀,chronic clap
metsɔ́,certain
metsɔ́, other (modifying class 4 and 6 nouns)
À ka sáŋ meŋwàʼne metsɔ́ zág.,"He counted the books, some were missing."
