ngiemboon,en
manzàb,k. cultural dance
mánzàʼ,k. cultural dance
manzòŋ,promotion
manzòŋ, class
manzòŋ, age group
manzòŋ,group
nzsè,path
mánzsè,path
mánzsèlʉŋ,yam beetle
manzwě,woman
manzwě, wife
máŋa,miracle
máŋa, miraculous
maŋáʼ,pride
maŋáʼ,great
maŋáʼ, fantastic
maŋáʼ, prideful
Mèŋ n te màŋáʼ kwóŋ.,I don't like pride.
À ge júu màŋáʼ nzsǒ.,He's going to buy a great outfit.
mǎŋŋwa,unspecified place (mockery)
máŋwɛ,legitimate owner
máŋwɛ, legitimate landlord
"Gù máŋwɛ, ɔ̀ gɔ̌ɔn ngie kɔ́?","You, the rightful owner, what did you say?"
máŋwʉ́,moon
mápfò,mother who’s breastfeeding her baby
mápǐd,sp. insect
mápitsɔ̀ʼ,history
mápitsɔ̀ʼ, story
mápitsɔ̀ʼ, narrative
mápitsɔ̀ʼ, gossip
mápóon tsetsáʼ,mason wasp
mapúɔ,stool
mapʉ́ʼte,gland
mápwɔ́ʼ,rectum
mápye,swim
mapyé ntse,dragonfly
masáŋ,number
Shʉ́ate masáŋ páʼ legém mbwo pʉ́a mépʉ́a.,Divide a number like ten between two people.
másem,sp. termite with a large termite hill
másèm nnú,cicada (generic)
máshúa,sp. ant
máshúa,blood loss
