ngiemboon,en
mémá,younger sibling
mémá,younger brother
memaʼá,delivery
memaʼá, prolongation
memaʼá, extension
memaʼá, surplus
mémbàʼ,relief
"Mèŋ n ka guɔ táʼ, mémbàʼ naʼá ńgÿo.",I was sick but I have a slight relief.
membǐ,available (qualifies class 4 and 6 nouns)
"Mekú mɔɔn, ée membǐ.",This bean has been taken.
membòŋo,better (modifying nouns from classes 4 and 6)
"Jú mepɔ̀ɔn membòŋo, ńná né yé.",Buy the best bags to give to him.
mémbʉ́a,two (modifying nouns from classes 4 and 6)
pwɔ́b ,billygoat
pwɔ́b , male goat
 mêmbwɔ́b,billygoat
 mêmbwɔ́b, male goat
mêmbwɔ́b,billygoat
mêmbwɔ́b, male goat
membÿag,raw
membÿag, uncooked (qualifying nouns of classes 4 and 6)
"Mèŋ n ge nkẅì, ɔ̀ náa melÿɔʼ membÿag ngie ngáa?","I'm single and you give me the raw yams, what should I do?"
mémmó,something
mémmó, lesser
Náa mémmó lé mèŋ.,Give me something.
mêmvfó,goat (generic)
mé-,a
mên-,a
"mênkɔ̀ʼ,",a rooster.
"mêngáb,",a hen.
menaŋ,palm-kernel oil
menàʼ,African wild date palm
menàʼ,mats
meshʉ̀a,small space of time
mencʉ̀a,small space of time
N ge gẅiin meshʉ̀a é tó.,I will come when I have a little space of time.
meshʉ̀a,small hole
mencʉ̀a,small hole
méshʉa,vertical animal horn whistle
méncʉ̌a,vertical animal horn whistle
méndá,small house
méndá, cottage
méndá,hive
mendyɛ̀ʼɛ,certain
mendyɛ̀ʼɛ, other (modifying class 4 and 6 nouns)
"Mevɛ pfɛté, gʉa ńjú mendyɛ̀ʼɛ.","The oil has poured out, go buy more."
mélêg,milk
ménêg,milk
menyě ntsɔ́ɔn ,domestic cat
 púusè,domestic cat
méneŋ nzáŋ,domestic cat
mêngáb,chicken
mengǎŋ,Bangang inhabitants
mengùb,shoes
menguʼu,sp. tree
mêngwé,dog
