ngiemboon,en
makʉ́ŋ,vulgar
makwáŋà kwɔb,parrot (generic)
makwɔ̀ʼ,person responsible
Mèŋ n dɔɔn tè gyá mákwɔ̀ʼ na nò yɔɔn wɔ́ ńde nò gɔɔn.,"If I don't see the person responsible for this matter, I must not speak."
mákẅálá,pin-tailed whydah
mákẅìʼ,mother-in-law
mákìkyè,one
mákìkyè, someone
mákyè,one
mákyè, someone
Zyɛ́b zyɛ́b ńgɔɔn ngie mákyè zɔ cǔa múɔ wɔɔn.,It must be said that this is who hit this child.
malákú,sp. white bean
melàntɛ̂,k. cultural dance
malàntê,k. cultural dance
málàʼa,candle
mélefág ,twin
mélefág , one of the twins
 tàʼ lefág ,twin
 tàʼ lefág , one of the twins
 lefág,twin
 lefág, one of the twins
málefág,twin
málefág, one of the twins
málegwàʼ,necklace
málekàŋ,narrator
málèkwɔ̀ʼ,person responsible
málekùmo,person responsible
málèkùmo,person responsible
málekwɔ̀ʼ,person responsible
"Ɔ̀ lɔɔn te gyá málekwɔ̀ʼ na nò yɔɔn wɔ́, mbà á té giŋ wɔ́.","If you don't see the person responsible for this matter, then it can't work."
malélúm ntsẅɛ̀ʼ,sp. ant (poisonous)
málem,k. condiment
málémngʉ̀a,sp. ant
léŋ ,swing
 lʉ́ŋ ,swing
 málʉŋ,swing
máleŋ,swing
máletsyɛ̀ mbʉ̀ŋ,sp. caterpillar
málezẅé,angle rafter
malí,k. cultural dance
malínɔ̀ɔn,k. mourning outfit
malínɔ̀ɔn, k. black cloth
malóló,sp. fish
málúʼ,banana plant flower
malúʼ ngɔ̀ɔn,sp. crab
