ngiemboon,en
ḿpfɛte,pour
mpfɛ̀te mennáʼ,spoilsport
mpfɛ̀te mennáʼ,sauce dispenser
mpfó,death
mpfò,serial
mpfò, episode
ḿpfo,rumble (sky)
ḿpfo,make a low-pitched sound
ḿpfo,growl
ḿpfó,pass
ḿpfom,whip
ḿpfóŋte,diminish
ḿpfóŋte, reduce
mpfɔ́g,blow
mpfɔ́g, hit
mpfɔ́g, shot
mpfɔ̌g,widow
mpfɔ̌g, widower
ḿpfɔ́gte,alleviate
ḿpfɔ́gte, reduce
ḿpfɔ́gte, lessen
mpfʉ̀,k. sticky sauce
mpfʉ̀,diamond burbank
mpfʉ̀, plant where one extracts a sticky sauce
mpfʉ̀ kwɔb,sp. jute
mpfʉ̀mpfʉ̀,innocent person
mpfwɔ̀ʼ,concubinage
mpfwɔ̀ʼ, cohabitation
mpfwɔ̀ʼ, fornication
ḿpfwɔʼɔ,commit adultery
ḿpfwɔʼɔ, make someone become a prostitute
ḿpfwɔʼɔ,crumble
mu,neighbourhood chief’s plot (land)
mú,yours (second person singular possessive pronoun referring back to class 4 and 6 nouns)
mú,your (second person singular possessive adjective modifying class 4 and 6 nouns)
mú,your (second person singular emphatic possessive adjective modifying class 4 and 6 nouns)
mú,for you (second person singular possessive pronoun referring back to class 4 and 6 nouns)
"À ně ńnyé melÿɔʼ mé, ńtúŋ mú.",He left his yams to dig up yours.
Nyé melÿɔʼ mú.,Leave your yams.
Emú melÿɔʼ gyɔ́ɔn.,Your yams are a lot.
fʉ̌a,"""bachelor"" (a unique vertical strip that results in an alternating weave when weaving a basket)"
mù,"""bachelor"" (a unique vertical strip that results in an alternating weave when weaving a basket)"
Mé těen ḿbáʼa túŋ té kẅiʼi mù mǒ wɔ́.,You don't weave a basket without introducing a singleton.
múɔ,child
múɔ fòŋ,calf
múɔ gag,canine (tooth)
múɔ láʼ,home-grown child
