ngiemboon,en
mága,badge
mága, remark
mága, tattoo
sáasèndê,Saturday
màga lyɛ̌ʼ,Saturday
mágàb,concubine
mágàb, cohabitant
mágàb,confidante
magmag,vaguely
magmag,finally
À líe jʉʼ pɔ́ magmag.,He looks vaguely.
mágɔ̀ʼpʉ̌ŋ,k. cultural dance
mágúm,sp. sparrow-hawk
manjÿò,stomach
májÿò,stomach
kuʼú lekàŋ,new cocoyam (generic)
mákàba,new cocoyam (generic)
pàŋ nkwoŋ ,sp. new red cocoyam
 pàŋa tenùʼ,sp. new red cocoyam
mákàba páŋ,sp. new red cocoyam
mákaláʼ,oldest sibling of twins
makánè,mechanic
mákěm nkwàʼ,sp. ant (poisonous)
mákʉmte púɔ,life plant
mákemte púɔ,life plant
mákʉmte púɔ nzóŋ,sp. weed
mákemte púɔ nzóŋ,sp. weed
mákyè,one
mákyè, someone
mákìkyè,one
mákìkyè, someone
makòŋ ngé,k. cultural dance
makósǎ,knitting
mákɔ̀ɔn,sp. edible insect
makúkú,k. white cloth
mákùm,masked person
mâkùmbà,sp. cocoyam
mákʉ̀,k. stone
mákemte púɔ,life plant
mákʉmte púɔ,life plant
mákemte púɔ nzóŋ,sp. weed
mákʉmte púɔ nzóŋ,sp. weed
