ngiemboon,en
mentʉ̌a,striped
Nzsǒ ye ee mentʉ̌a mentʉ̌a.,His clothing is very striped.
méntʉ̂a,five (modifies nouns from classes 4 and 6)
ményaŋ,only just
ményaŋ, risked
ményaŋ,smallness
ményaŋ, very small quantity
À syě tà á cʉ́ʼʉ ményaŋ à gwe ssé.,He slipped so badly that he almost fell.
méneŋ nzáŋ,domestic cat
menyě ntsɔ́ɔn,domestic cat
menyɛ̌,samples
ményìŋ,short man
ményìŋ, diminutive for a man
nÿɔ́g,eyes
menÿɔ́g,eyes
menÿɔ́g ŋwàʼne,alphabets
menÿɔ́g ŋwàʼne, alphabet letters
menzoŋ menzóŋ,barbed
À lɔ̌g nkÿo menzoŋ menzóŋ ńkéle nkáʼ wé.,He used barbed wire to fence his field.
mèŋ,"me (emphatic subject pronoun, first person singular)"
mèŋ,me
Mèŋ gyua.,I'm leaving.
A nǎ né mèŋ!,He gave it to me.
meŋegé,final forces
ŋwàʼŋwàʼ,multi-coloured
ŋwàʼŋwàʼ, camouflaged
ŋwàʼŋwàʼ, mult-coloured
meŋwàʼmeŋwàʼ,multi-coloured
meŋwàʼmeŋwàʼ, camouflaged
meŋwàʼmeŋwàʼ, mult-coloured
meŋwʉŋé,ray
meŋwʉŋé,brilliant
meŋwʉŋé,crystal
meŋwʉŋé, quartz
meŋwʉŋé, metal
meŋwʉŋé,pearl
mepab,lies
mepaŋ,"red (qualifies class 2, 4, 6, 8 and 10 nouns)"
A jǔu mepaŋ pɔ̀ɔn.,He bought the red bags.
mépùʼ,small knife
mépʉ́a,two (modifying nouns from class 2)
mesǎ mésǎ,higgledy-piggledy
Eshúm tyéte ndá yé mesǎ mesǎ.,Things are arranged haphazardly in his house.
sǎsaa,outstretched
sǎsaa, displayed
mesǎ mésaa,outstretched
mesǎ mésaa, displayed
mesàb,talk
mesàb, conference
mesaŋá,couscous
mésáʼa kɔ́,information
mésáʼa kɔ́, newspaper
meséssé,black (modifies class 4 and 6 nouns)
Áfílíkà áa pàga njÿó meséssé pʉ̀a.,Africa is the continent of black people.
mesète pàʼa,awl
