ngiemboon,en
mbùʼ ngwòŋ,creator
Mbùʼndɔɔn,Mbouda
mbùʼu,player
mbùʼu,striker
lepuʼú ŋwèʼe,document
lepuʼú ŋwèʼe, book
mbuʼú ŋwèʼe,document
mbuʼú ŋwèʼe, book
mbʉ̀,brick
ḿbʉ,go up
ḿbʉ, climb
ḿbʉ́,forbid
ḿbʉ́, ban
ḿbʉ́, refuse
mbʉ́a,two (only for counting)
mbʉ́a,sheath
mbʉ̀a,plot (land)
ḿbʉa,hate
ḿbʉa, detest
ḿbʉ́a,be crazy
mbʉ̀a ŋàg,law court
mbʉ̀a ŋàg, appeal court
ḿbʉe,stir
ḿbʉe, turn
ḿbʉe,stir regularly
ḿbʉe, return
ḿbʉe,rummage
ḿbʉe,torment
ḿbʉe,torment
mbʉ́lè,peace
ḿbʉle,pour out
ḿbʉle, fall
ḿbʉle, pour for oneself
ḿbʉle, pour out for oneself
ḿbʉ́le,be easy
ḿbʉ́le,soften
ḿbʉ́le, make milder
ḿbʉ́le,be conciliatory
mbʉ̀le pʉlé,peaceful
À neŋé na jʉʼʉ mbʉ̀le pʉlé.,He is sitting in a peaceful place.
mbéŋ,bed strut
mbéŋ, bed crosspiece
mbʉ́ŋ,bed strut
mbʉ́ŋ, bed crosspiece
mbʉ̀ŋ,rain
ḿbʉ́ŋ,bawl
ḿbʉ́ŋ,make a big fire
mbʉ́ŋ mezẅé,nostril
ḿbʉŋe,make ripe
ḿbʉŋe, let ripen
ḿbʉŋe,cross
