ngiemboon,en
ḿmÿɛ́te,be pregnant
ḿmÿɛ́te,gain weight
ḿmÿɔb,eat while lengthening the lips
ḿmÿɔb,distort the mouth
ḿmÿag,regret
ḿmÿag, worry
ḿmÿɔg,regret
ḿmÿɔg, worry
ḿmÿag,regret
ḿmÿag, worry
ḿmÿag, to care
ḿmÿag, irritate
ḿmÿɔg,regret
ḿmÿɔg, worry
ḿmÿɔg, to care
ḿmÿɔg, irritate
mǒ,on
mǒ, above
"À nyɛ̌ mmɔ̌g, ńkaa lekʉŋ ńtÿɔ́gɔ mǒ.",He lit the fire and carried the pot to put on top.
móm lefɔ̌ɔn,eighty
móm lekùa,forty
móm lepfwɔʼɔ́,ninety
móm mbʉ́a,twenty
móm ntá,thirty
móm ntɔgɔ́,sixty
móm ntʉ̂a,fifty
móm sɔɔn mbʉ́a,seventy
momte,total
moŋo nzẅìŋ,dear
moŋo nzẅìŋ, expensive
moŋo nzẅìŋ,priceless thing
moon,without doubt
"Pɔ́ ge kaa gú jú, é gʉa túŋ moon!","They will also carry you to go to bury, no doubt!"
mòon,yes (to majestic rulers)
"À fùɔ lɔɔn ńtóŋo ɔ́, ɔ̀ zẅíŋ ngie mòon.","If his majesty calls you, accept by saying yes."
mòon,fairylike
mòon, small
Ɔ̀ jʉʼɛ ńgÿo kɔ́ mòon?,What are you doing there little one?
mòon mbì,long rod for weaving a mat
mòon ngékule,war fatigues
mòon ngékule, k. hairy clothes
mòon nkíle,guide for guiding a mat being woven
mvfò lyɛ̌ʼ,Monday
móonndi,Monday
móonpuʼ,prominent sacrificer
wɔ́,not
mɔ́,not
Yɛ̂ té mmó yɔ́ɔn mɔ́.,This thing doesn't belong to me.
mɔ́b,theirs (3rd person plural possessive pronoun referring back to class 4 and 6 nouns)
mɔ́b,theirs (3rd person plural possessive adjective modifying class 4 and 6 nouns)
mɔ́b,theirs (3rd person emphatic plural possessive adjective modifying class 4 and 6 nouns)
mɔ̀g,"intermittent movement (smoke, oesophagus)"
À nǔu káb we tà ndyé ne ńkẅɛɛ lê mɔ̀g.,He smoked his pipe until the smoke came out intermittently.
