ngiemboon,en
fɔ́gɔ̀ lejÿɔ́g,white of the eye
fɔ́gɔ̀ ncùm,yellow-billed oxpecker
fɔ́gɔ̀ shʉ̀shʉ̀,sp. mongoose
fɔ̀ɔn,pumper
Tà ɔ̀ jǔ ffo kàafée péʼe tà ɔ̀ gyǎ fɔ̀ɔn?,"Since you bought the product for the coffee tree, have you seen the pump?"
fɔ̌ɔn,log splitting wedge
fù,loan
fù, credit
fùb,sound of an instrument buried in a moist body
À sɔbɔ́ pùʼ na kalém lê fùb.,He stuck the knife into the melon that “fub”.
fòbe,filth
fùbe,filth
fòbe,film
fùbe,film
fèfùʼ,foam
fùfùʼ,foam
Fúmbɔ̀d,Foumbot
fúɔ,louse
fùɔ,king
fùɔ, chief
fùɔ má ntsɔ̀ʼ,person responsible
fúɔ nkèsàŋ,flea
fùɔ ntsɔ́ɔn,pity king
fùɔ ntsɔ́ɔn, sympathetic
fùɔ ntsɔ́ɔn, compassionate
fùɔ ntsɔ́ɔn, soft-hearted
fùɔ tsìŋe ndá,family head
fùɔ tÿǒsoŋ,mayor
fùɔndàbnɛ́,middle-class
fùɔlàb,middle-class
fùɔlàb,middle-class
fùɔndàbnɛ́,middle-class
Fùɔtɔ̀ʼ,Foto
fùu,creditor
fùu, debtor
"Nkáb yɔɔn, afùu gwɔ́ nzɔ̌?","Here is some money, where is the creditor?"
fùu,loan
Afùu té poŋ.,The loan is not good.
fúʼ,valley
fùʼ,treasure
fùʼ, something found
fùʼmbùm,k. cultural dance at Batcham
