ngiemboon,en
léŋ ,swing
 lʉ́ŋ ,swing
 máleŋ,swing
malʉ́ŋ,swing
mbèyà,k. cultural dance
malʉ́ŋ,k. cultural dance
mambǎ saŋ,sp. furry caterpillar
mámbàŋa,man
mámbàŋa tẅɛ́,sp. furry caterpillar
mambáŋambíle,miraculous
Wɛ̂ kwàʼ mambáŋambíle pa nò.,It's a miraculous thing there.
mámbiʼí,woman director
mámbiʼí, woman in charge
mambʉ́ŋ métò kǔʼ,sp. insect
mambóŋ métò kǔʼ,sp. insect
laale,grenadine
laale, passion fruit
mambú mbÿàg pÿág,grenadine
mambú mbÿàg pÿág, passion fruit
lepʉ́múɔ,sp. tree
mambʉ́múɔ,sp. tree
mambóŋ métò kǔʼ,sp. insect
mambʉ́ŋ métò kǔʼ,sp. insect
mambye,buttress
mambye, piece of framing
mamèkěm,door-to-door salesman
mamèkěm, actor
mamèkěm, mediator
mamèkěm, negotiator
mamèkěm, ambassador
mamelém,dawn
mameŋ,mother
mánà,manna
náŋ,spy
manáŋ,spy
mánáŋ,float
mánáŋ, bobber
mánáŋ,spinning top
màntsàʼ nkendʉ́ŋe,moss (generic)
mánǎŋntsàʼ,moss (generic)
mancʉ́ŋ,terrible
mancʉ́ŋ, terrific
mandá,president (woman)
mándàg,sp. edible plant
mándagá,history
mándagá, story
mandàlîn,mandarin
