ngiemboon,en
ḿvɔ́g,be short
mvɔ̀g mvfò,first
Mvɔ̀g mvfò nyìŋ vɔ̌g tà ńtó páʼɔɔn á zɛ́te mbɔ́ɔntè yépʉ́a.,"As the first person came, a second is needed."
ḿvɔɔn,get wet from dew
ḿvɔɔn, pat the dew
ḿvɔɔn,rock (dew)
ḿvʉʼʉ,reserve
ḿvʉʼʉ, keep
mvwɔ̀ʼ,hollow
mvwɔ̀ʼ, hole
ḿvwɔʼ,close
ḿvwɔʼ,open
ḿvwɔʼɔ,stay
ḿvwɔʼɔ, remain
mvwɔ̀ʼte,vault
mvwɔ̀ʼte, tomb
mwòon,abscess
mwòon,"one who searches (house, sack, woman’s affair)"
mwòon nzém,intense darkness
mwòon nzém, intense obscurity
mwòon nzém,darkness
mwòon nzém, obscurity
À fǒ tsẅɛ ńkwɔ́ʼ tsɛ̀ɛ mwòon nzém.,He returned from the field in intense darkness.
mwóonne mbúʼu,sp. cricket
mwɔ̀bɔ,stretch out
Aa mwɔ̀bɔ ncwò.,His mouth is stretched.
mÿɔ̀g,sadness
mÿɔ̀g, grief
mÿɔ̀g, sorrow
mÿɔ̀gte,regret
