ngiemboon,en
mezẅìŋ,old (qualifies class 4 and 6 nouns)
À nǎ mezẅìŋ nzsǒ né pʉ̀a.,He gave the old clothes to the madman.
ŋwɛ́,the
ŋwɛ́, the same (anaphoric adj.)
mɛ́,the
mɛ́, the same (anaphoric adj.)
"Pɔ́ ně ńtóŋo nyìŋ mɛ́, à tè zẅíŋ.","They called that person, she didn't answer."
mɛ̀,those
mɛ̀, those there (middle distant demonstrative pronoun that refers to class 4 or 6 nouns)
mɛ̀,those
mɛ̀, those there (middle demonstrative adjective modifying class 4 and 6 nouns)
Mekwɔ̀ʼɔ mé mɛ.,His stools are these.
Tâm ge jú menkáʼ mɛ.,Tam will buy these fields.
mɛ̌,which ones? (asking for classes 4 and 6)
Pi ge gʉa na mepɔ̀ɔn mɔɔn é kaa mɛ̌?,Which of the following bags will you wear?
mɛ̌ɛʼ,bleat of a goat
"Mêmvfó gaʼté lê mɛ̌ɛʼ, ńdɔg ńtóŋo múɔ.","To call the kid, the goat quavered."
mbɛ̌ʼ,bleat of a sheep
mɛ̌ʼ,bleat of a sheep
mi,those
mi, those there (distant demonstrative pronoun referring to class 4 and 6 nouns)
mi,those
mi, those ... there (distant demonstrative adjective modifying class 4 and 6 nouns)
"Metÿǒ mɔɔn, é té sag, emi ésag mboŋó.","These trees are not long, these are very long."
Mepɔ̀ɔn mi té poŋ.,These bags are not good.
mí,large river of water
mí,yours (second person plural possessive pronoun referring back to class 4 and 6 nouns)
mí,your (second person plural possessive adjective modifying class 4 and 6 nouns)
mí,your (second person plural emphatic possessive adjective modifying class 4 and 6 nouns)
"À gɔ̌ɔn ngie n too ńjú mencʉ́ŋ, ńjú mí.","He said when I buy the bottles, I buy yours."
mí gyeen guu,meow (cat)
mi lé mèŋ,indifferent person
mie,that
mie, who (relative pronoun modifying class 4 and 6 nouns)
Mekwɔ̀ʼɔ mie é kɔʼɔ́ jʉʼɔɔn pfǒ nzɔ̌?,Where are the stools that were here?
mìi,swallower
mìi lóŋ,oesophagus
mìi lóŋ, throat
míile,myrrh
míile, k. smelly medicinal gum resin
ncùʼ,million
mileyôŋ,million
À gẅiin nkáb tà é tɔ́gɔ tàʼ mileyôŋ.,He has money over a million.
miliyâ,billion
mìmbum,Central African egg-eating snake
tsetsɛ̀ɛ lyɛ̌ʼ,Wednesday
míndèlèwɔg,Wednesday
mínẅîd,minute
míŋ,son
míŋ míŋ múɔ,great-grandson
misîoŋ,mission
mítà,metre
miʼté,light inflammation of the throat
