ngiemboon,en
Mbyě nèm,West
mbyè nkʉ̌a,k. knife for a wine grower
mbyèmelùʼ,blotched genet
mbyèmelùʼ, large-spotted genet
mbyèmelùʼ," ""tiger-cat"" (in local English)"
mbyèmelùʼ,
ḿbyɛ́b,wait
ḿbyɛ́b,guard
mbyɛ̀b pyɛ̌b,guardian (not owner)
mbyɛ̀b pyɛ̌b, temporary
mbyɛ̀b pyɛ̌b, temp
mbyɛ̀bɛ,guard
mbyɛ̀bɛ, guardian
mbyɛ̀bɛ, caretaker
ḿbyɛ́te,collect
ḿbyɛ́te,take without leaving anything
ḿbyɛʼ,drink nobly
À ne ḿbyɛʼɛ melùʼ pyɛʼ.,He drinks wine nobly.
ḿbyɛ́ʼte,pin on
ḿbyɛ́ʼte, catch
ḿbyɛ́ʼte, nab
ḿbyɛ́ʼte,fold a leaf and retain it with something
ḿbyɛ́ʼte,deceive
mbÿɔg,raw
mbÿɔg, uncooked
mbÿag,raw
mbÿag, uncooked
ḿbÿɔ́g,spoil
ḿbÿág,spoil
ḿbÿɔ́g,make a sad face
ḿbÿɔ́g, look sad
ḿbÿɔ́g, sadden
ḿbÿɔ́g, annoy
ḿbÿág,make a sad face
ḿbÿág, look sad
ḿbÿág, sadden
ḿbÿág, annoy
ḿbÿɔ́gte,crease
ḿbÿágte,crease
mbÿé,burrow
mbÿé, hole
mbÿě,aiele
mbÿě, sp. canarium nut (black fruit)
ḿbÿé,announce
ḿbÿé,promise
ḿbÿé, prosper
mbÿé letuŋó,auditory canal
mbÿé mezẅe,nostrils
mbÿě ngem,velvet tamarind fruit
mbÿè ngwóŋ,furrow (space between two ridges)
mbÿè nnɛ́,actor
mbÿè nnɛ́, comedian
Mbÿɛ̌,Bamboue
ḿbÿɛ,respond
ḿbÿɛ, retort
ḿbÿɛ,pour
ḿbÿɛ́,become feeble
ḿbÿɛ́, be feeble
ḿbÿɛ́,weaken
ḿbÿɛ́,soften
