ngiemboon,en
kẅè ncù,offensive army
kẅé ntaŋ,attestation
kẅé ntaŋ, diploma
kẅé ntaŋ,witness
kẅe ntse,baptism
nkẅèen,rubber for cleaning
kẅèen,rubber for cleaning
kẅétè,aid
kẅɛ́ɛ pwòon,stingy
kẅɛ̀ʼ kẅɛ̀ʼ,
Ɔ̀ jÿɔ̌g melɔ̌ɔn ŋàʼ ntsíŋ tà ńcʉ́ʼʉ ńgiŋe pɔ́ kẅɛ̀ʼ kẅɛ̀ʼ.,You wore high heels until you had an improper gait.
kẅɛ̀ʼ ntsíŋ,high heel
kẅì,celibacy
kẅǐ,bone
kẅǐ nnɛ́,vertebra
kẅǐ nnɛ́, skeleton
kẅìge mmɔ́g,combustible
kẅìi twó,nuisance
Ambàŋa wɔɔn aa kẅìi twó.,This man is a pain in the ass.
kẅíkẅíle,telephone
kẅíkẅíle, mobile phone
kẅíkẅíle mekwò,waders
kẅìŋ,k. musical instrument
kẅîŋ,action of something pointed being stuck into a body
Nyínyíŋe tsɔgɔ́ pwó yé lê kẅîŋ.,The mosquito bit him that “kẅîŋ”.
kẅíŋe,way out
kẅíŋe, emergency exit
kẅiŋe gyé,k. condiment
kẅìŋe twó,hairdresser
kẅíʼ,homonym
kẅíʼ fùɔ,double iron clapperless bell
kẅíʼ fùɔ, chiefdom’s sacred orchestra
kẅíʼ fùɔ,k. cultural dance
kẅìʼi,complement
kẅìʼi, rest
kẅìʼi, remainder
kẅìʼi, addition
kẅiʼté,knee
