ngiemboon,en
mɔ́gɔ̀,yours and mine 
mɔ́gɔ̀,your and my 
mɔ́gɔ̀,your and my 
mɔɔn,these
mɔɔn, these here 
mɔɔn,these
mɔɔn, these ... here 
Tâm ge jú menkáʼ mɔɔn.,Tam will buy these fields.
mɔ́ɔn,mine 
mɔ́ɔn,my 
mɔ́ɔn,my 
mɔ́ɔn,for me 
ḿmɔ́ɔn ,not even
 mɔ̌ɔn,not even
mɔ́ɔn,not even
Tè mɔ́ɔn ńzẅíŋe nò gie à gɔɔn.,Don't even accept what he says.
mɔ̌ɔn,Mrs.
ḿmɔ́ɔn ,not even
 mɔ́ɔn,not even
mɔ̌ɔn,not even
Tè mɔ́ɔn ńzẅíŋe nò gie à gɔɔn.,Don't even accept what he says.
mɔ́ɔn fùɔ,younger sibling of the chief 
mɔ̌ɔn fùɔ,chief’s mother 
mɔɔn mɔɔn,astonish
mɔɔn mɔɔn, surprise
Yěsô la zíme na legwe á gwɔ́ kwàʼ nò mɔɔn mɔɔn.,"Jesus was resurrected from the dead, it is truly an amazing thing."
mɔɔn nò,something surprising
Yɛ̂ kwàʼ mɔɔn nò gie ɔ̀ shwóŋo wɔ́ɔn.,This is astonishing news that you are telling me.
mɔ̌ɔn nɔʼ,queen
mɔ̌ɔnmé,Mrs.
mpfégè,giggle
mpfégè, snigger
mpfégè, mockery
mpfégè, taunt
ḿpféle,put out to graze
mpfèle mefòŋ,drover
mpfémpfelé,scrap
mpfémpfelé, waste
mpfémpfɛ̌,sp. ant. 
mpfɛ̌,edible
mpfɛ̌, drinkable
À jǔ pwɔʼ mpfɛ̌.,He bought the edible mushroom.
ḿpfɛ́,eat
ḿpfɛ́, gnaw
mpfɛ̀ legǐ,herbivore
mpfɛ̀ lekʉŋ,pot lid
mpfɛ̀ lekʉŋ, muddle-headed
mpfɛ̀ lekʉŋ, draft
mpfɛ̀ mbab,carnivorous
mpfɛ̀ mvòm,gallinacean 
mpfɛ̀ pfɛ̌,edible
À lúɔ pɔ́ mmó mpfɛ̀ pfɛ̌ ,He asks what is consumable
À lúɔ pɔ́ mmó mpfɛ̀ pfɛ̌ , he doesn't ask what he's going to sell.
 à těen ńdúɔ ye sẅiŋ wɔ́.,He asks what is consumable
 à těen ńdúɔ ye sẅiŋ wɔ́., he doesn't ask what he's going to sell.
mpfɛ̀ɛ,consumer
mpfɛ̀ɛ, customer
