ngiemboon,en
pajúʼu,audience
pambè,job
pambè, task
panáb,penknife
páŋ,dugout canoe
páŋ,garden
pàŋ,red
À jǔ pàŋ mekú.,He bought the red bean.
pàŋ kùkwò,hornet
pàŋ mbândum,common rat
pàŋ mekwaʼá,laterite
pàŋ mekwaʼá,k. jaundice
pàŋ ncwò,sp. red waxbill finch
pàŋ ndù,red malimbe
paŋ ngesáŋ,sp. red maize
mákàba páŋ ,sp. new red cocoyam
 pàŋa tenùʼ,sp. new red cocoyam
pàŋ nkwoŋ,sp. new red cocoyam
pàʼ nkwʉŋ,white-tailed mongoose
pàŋ nkwʉŋ,white-tailed mongoose
pàŋ ntíŋ ntíŋ,dessert banana 
pàŋ ntsàŋ,scarlet
pepàŋ ntsẅɛ̀ʼ ,hoverfly
 lùmo tʉ̂atʉ̂a,hoverfly
pàŋ ntsẅɛ̀ʼ,hoverfly
pàŋ nÿɔ́g,k. cultural dance
pàŋ nzèm mɔ́ʼɔ,sp. weed
pàŋ tsetsáʼ,red earth
pàŋa,white man
paŋa jʉŋé,crimson seed cracker
pàŋ nkwoŋ ,sp. new red cocoyam
 mákàba páŋ,sp. new red cocoyam
pàŋa tenùʼ,sp. new red cocoyam
pàŋa twó,daisy
páŋte,stretcher
