ngiemboon,en
jʉ́jʉ́ŋ,drawing
jʉ́jʉ́ŋ, image
jʉ̀jÿó,Cape gooseberry
jʉ̀jÿó méshʉŋ,sp. weed
jʉ̀jÿó ndÿɔgɔ́,slender wild cape gooseberry
jʉ́jÿó pwɔʼ,sp. ant 
jʉ̂ŋ,sheet metal
jʉŋe,good smells
jʉŋé,sp. waxbill finch
jʉŋé ntʉ̀,red-cheeked cordon-bleu
jʉŋé pʉ̀pÿɛ̂,black-crowned waxbill
jʉʼ,seat
jʉʼ, place
jʉʼ,weather
jʉʼ, time
jʉʼ, atmosphere
"Áa ncwò nzem, ejʉʼ zye lésíŋ.","In the evening, the weather begins to get dark."
jʉ́ʼ kʉŋ,vigil
"Pi nyìŋ lɔɔn ńge ńtÿɔ́g ntsem, pi yé fó tsetsɛ̀ɛ pajʉ́ʼ kʉŋ ńkẅɛ.","If you want to talk to someone separately, remove yourself from the security guards."
jʉʼʉ,there
jʉʼɛ,there
Kaa ńzába jʉʼɛ gie ɔ̀ tyé wó lɛ̀.,Door to put where you are placed.
jʉʼɔɔn,here
Mèŋ n ge pí ńnuŋe jʉʼɔɔn.,I will take to put here.
jʉʼɛ,there
jʉʼʉ,there
Kaa ńzába jʉʼʉ gie ɔ̀ tyé wó lɛ̀.,Door to put where you are placed.
jʉʼʉ kwɔ́ʼ,dysentery
jʉʼʉ sẅisẅé,shade
zwàʼ,sound of a bundle of bamboo falling on the ground
jwàʼ,sound of a bundle of bamboo falling on the ground
"À mǎʼ mbwɔ̀ʼ ndʉŋ, é gwe lê jwàʼ.",He threw the bundle of bamboo and it fell “jwàʼ”.
jwóŋ,sp. tree
jwóŋ,laziness
Jwóŋ pǔ ńgÿo fàʼ yɔ́ɔn té mag.,Laziness has meant that my work is not finished.
jwòŋmbì,disfigured child
jwòŋo,long reach
jwòŋo, extension cord
jyâjyâ,lightness
jyâjyâ,nonsense
jÿâ,sound of air moving
Fefa cʉ̌a lê jӱâ.,The wind passed that “jӱâ”.
jÿó,dish
jÿó, meal
jÿó, food
Melùʼ ée ssé tá jÿó té wó wɔ́.,There is drink but no food.
