ngiemboon,en
kwɔ̀ʼ kwɔ̀ʼ,
À giŋe kwɔ̀ʼ kwɔ̀ʼ páʼ fòŋ lá.,He has an improper gait like that of a cow.
kwɔ̀ʼ melǒŋ,appellation of affection 
kwɔ́ʼ ngɔʼ,mumps
kwɔ̀ʼ twó,sp. mouse
kwɔ́ʼɔ,beloved
kwɔ́ʼɔ, darling
kwɔ́ʼɔ, dearest
leŋ ,stool
 lʉŋ,stool
kwɔ̀ʼɔ,stool
kwɔ̀ʼɔ fùɔ,throne
kwɔ̀ʼɔ fùɔ,praying mantis
kwɔ̀ʼɔ fùɔ mámbàb,sp. insect
kwɔ̀ʼɔ lekʉb,rattan chair
kwɔ̀ʼɔ lóŋ,jealousy
kwɔ̀ʼɔ lʉŋ,chair
kwɔ̀ʼɔ mekwò,k. stool
kwɔ̀ʼɔ ndá,threshold
kwɔ̀ʼɔ ndá,children belonging to the same woman
kwɔ̀ʼɔ ndʉŋ,k. bamboo stool
kwɔ̀ʼɔ ngwoon,banana plant stump
kwɔ̀ʼɔ njʉʼʉ́,armchair
kwɔ̀ʼɔ njʉʼʉ́, chair
kwɔ̀ʼɔ nkʉ́a,seat made of raffia
kwɔ̀ʼɔ nzáŋ,k. cultural dance
tsé,family with several parents-in-law
kwɔ̀ʼɔ tsé,family with several parents-in-law
Peg yé teme kwɔ̀ʼɔ tsé,We have the same in-laws
Peg yé teme kwɔ̀ʼɔ tsé, his wife and mine come from the same concession.
 anzwě wé pɔ́ wɔ̀ɔn fóo tàʼ mbʉ̀a.,We have the same in-laws
 anzwě wé pɔ́ wɔ̀ɔn fóo tàʼ mbʉ̀a., his wife and mine come from the same concession.
kwʉ́ŋ,old currency
kwéʼte,paralysis
kwʉ́ʼte,paralysis
kẅàga,cough
kẅâŋkẅâŋ,hooting 
kẅé mpfwɔ̀ʼ,scorpion
