ngiemboon,en
cyág,sound of a machete cutting into something
Nně zaʼá tépwó we lê cyág.,The machete cut the roof that “cyág”.
cÿáŋaláŋláŋ,sound of glass objects falling
"Mencʉ́ŋ gwě, ńgye lê cӱáŋaláŋláŋ.",The bottles fell and sounded like “cӱáŋaláŋláŋ”.
cÿáŋcÿáŋ,concussion balls
cÿâʼ,sound of frying
"N kǎŋ mèvɛ, ńkẅiʼi ntse mǒ, é gÿo lê cÿâʼ.","I fried the oil, added water and it made “cÿâʼ”."
cÿó,famine
cÿó gʉm,gift
cÿó gʉm, grace
cÿó ndá,foundation
cÿòon,gutter
cÿɔ́b,pickaxe
cÿɔ̀b,scabies
cÿɔ̀b, mange
cÿɔ̀b,poison
cÿɔ̀b,fetish
cÿɔ́g,discussion
cÿɔ́g, discord
cÿɔ́g,gums
cÿɔ̀gɔ,hardened 
cÿɔ̌nò,lie
cÿɔ́ɔsè,church
cÿɔ́ʼ,servant
cÿɔ̀ʼ,hat
cÿɔ̀ʼ, hair style
cÿɔ̀ʼ,fear
Ecÿɔ̀ʼ té poŋ.,Fear is not good.
cÿɔ́ʼ letuŋó,ear lobe
"Ɔ̀ ge gíŋe tʉʉ twó, e syé cÿɔ́ʼ letuŋó gù.","You persist again, I will cut off your earlobe."
cÿɔ́ʼ ntɔ́ʼ,valet
cÿɔ́ʼ ntɔ́ʼ, servant
cÿɔ́ʼ Ssé,angle
cÿɔ́ʼfùɔ,valet
cÿɔ́ʼfùɔ, king’s servant
cÿɔ̀ʼɔ cʉ́ŋ,k. hat
cÿɔ̀ʼɔ kùbe ncwò,k. hat
