ngiemboon,en
zsǒ,day
zezsó,abscess with pus
zʉzsó,abscess with pus
jwàʼ,sound of a bundle of bamboo falling on the ground
zwàʼ,sound of a bundle of bamboo falling on the ground
zẅɛ̌,steam
zẅɛ̌, vapour
zẅɛ́te,informing
zẅɛ́te, murmuring
zẅɛ̌ʼ,hip
zẅɛ̌ʼ, waist size
zẅɛ̀ʼɛ,breakthrough
zẅɛ̀ʼɛ,profit
zẅɛ̀ʼɛ, substance
Azẅɛ̀ʼɛ gie áa na fàʼ yɛ̂ aa kɔ́?,What is the profit that exists on this work.
sẅì,depth
sẅì, bottom
zẅì,depth
zẅì, bottom
Azẅì tɔ́ɔn kaa kuʼu.,The depth of the pit is not sufficient.
zẅìge,breathing
zẅìge, mind
zẅìge, spirit
zẅìge ndʉalʉ̌a,Holy Spirit
zẅìge ndʉalʉ̌a, holy spirit
zẅìŋ,old 
"À kǎa kwɔ̀ʼɔ zẅìŋ, á té yesẅé wɔ́.","He carried an old stool, it's not new."
zẅíŋ zẅiŋ,obedient
zẅíŋ zẅiŋ, yes-men
zẅíŋ zẅiŋ, collaborators
Múɔ wɔɔn aa kwàʼ zẅíŋ zẅiŋ. Mé té gɔɔn nò á lʉʼ wɔ́.,This child is very obedient. He does not refuse what is said to him.
zẅíŋe mefʉa,confession
zẅíŋe ntʉm,faith
zẅízẅɛʼɛ́,fruit fly
zyaga múɔ,young person
Mèŋ n gyǎ tsɔ́ zyaga múɔ lê máa pɔ̀ɔn twó yé.,I saw a young child with a big bag on his head.
zyé,totem
zyé,genius
zyè,advance
zyè kú,bedcover
zyé melẅè,fleabane
zyé nkenkáb,sycamore fig
zyé nkenkáb, fig-mulberry
zyé pàŋ nzèm mɔ́ʼɔ,sp. weed
zyè ssé,foundation
zí,development
zyéen,development
zyɛ̀d,puberty
Azyɛ̀d twó gù ka?,Do you have puberty on your mind?
