ngiemboon,en
ńkube,be miserly
ńkube, be stingy
ńkube, be meagre
ńkúbe,change
ńkúbe, exchange
ńkúbe,alternate
ńkúbe, to change
ńkúbe,replace
ńkúbe,change from time to time
ńkúbe, vary
"Ɔ̀ lɔɔn ńcʉ́ŋe pɔ̀ɔn tà pwó jú gyáŋ, ɔ̀ kúbe pwó.","If you hold the bag until your hand hurts, you need to change hands."
nkùbe twó,successor
nkùbe twó, replacement
nkùbe,changer
nkùbo,changer
nkùbe,niggardly
nkùbe, stingy
nkùbe, miserly
nkùbe, tight-fisted
nkùbo,niggardly
nkùbo, stingy
nkùbo, miserly
nkùbo, tight-fisted
ńkubte,manipulate untidily
ńkubte, handle messily
nkùd,knock-out
nkùd, k.o. 
nkùe,tamer
nkùe, breaker
nkùe,innkeeper
nkùe, hotel-keeper
ńkúe,provision
ńkúe,receive
ńkúe, put up
ńkúe,tame from time to time
ńkúe,receive from time to time
ńkúe, host from time to time
ńkúe,harry
ńkúe, harras
ńkúe, drive back
Te lɔgɔ shwóŋò ńkúe wɔ́ɔn.,Don't harass me with the words.
nkùm,tin
nkùm, coffin
ńkum,harden oneself
ńkum,see personally
ńkum,eat sparingly 
ńkum,reach by attacking
nkunjʉ̀njÿò,purple princess
kotôŋ,cotton
nkùnkùb,cotton
nkùnkùm,fonio
nkùnkùʼ,sugarcane
nkunkwɔɔn,second
nkùa,local bamboo dibble
nkùɔ,local bamboo dibble
nkùa,scraper
nkùɔ,scraper
nkǔa,hood
nkǔɔ,hood
ńkua,scrape
 ńkua mbù,scrape
 ńkuate,scrape
ńkuɔ,scrape
ńkua,chuckle
ńkua, cluck
 ńkua mbù,chuckle
 ńkua mbù, cluck
 ńkuate,chuckle
 ńkuate, cluck
ńkuɔ,chuckle
ńkuɔ, cluck
ńkua,discord
ńkua, maintain a feeling of hatred
 ńkua mbù,discord
 ńkua mbù, maintain a feeling of hatred
 ńkuate,discord
 ńkuate, maintain a feeling of hatred
ńkuɔ,discord
ńkuɔ, maintain a feeling of hatred
ńkua,scrape
ńkua, scratch
 ńkua mbù,scrape
 ńkua mbù, scratch
 ńkuate,scrape
 ńkuate, scratch
ńkuɔ,scrape
ńkuɔ, scratch
nkùte,k. sack
nkùte,one who starts a fight
Nkùte melàʼ cʉa tàga.,The instigator of the fight goes beyond the wrestler.
ńkute,arouse
ńkute, stimulate
nkùte melàʼ,promoter
nkùte melàʼ, mover and shaker
