ngiemboon,en
tsɔɔn pwɔʼ,sp. tree
tsɔ̀ʼ,ear
tsɔ́ʼɔ kwɔb,common quail
tsɔ́ʼɔ kwɔb, Latham’s forest franolin
tsɔ́ʼ mbím,common quail
tsɔ́ʼ mbím, Latham’s forest franolin
tsɔ́ʼ mémbàba,k. ill-matched outfit
tsɔ́ʼ ngesáŋ,sp. bird
tsɔ́ʼ nzèm,van
tsɔ́ʼnzìŋe,can opener
tsɔ́ʼnzìŋe, bottle opener
tsɔʼɔ́,sp. aneilema
tsɔ̀ʼɔ kí,key
tsɔ́ʼ mbím,common quail
tsɔ́ʼ mbím, Latham’s forest franolin
tsɔ̀ʼɔ kwɔb,common quail
tsɔ̀ʼɔ kwɔb, Latham’s forest franolin
tsɔ̀ʼɔ mémbaŋ,nail puller
tsɔ̀ʼɔ ngyè,detonation
tsɔ̀ʼɔ ngyè, explosion
tsɔ́ʼtè,trot
tsùb,sound of hands clapping as a sign of respect
"Mé tyé mvfò fùɔ, ńcúa mbwó lê tsùb tsùb.",In front of the king we clap our hands “tsùb tsùb”.
tsẅàŋ,cloth
tsẅàŋ, web
tswàŋ,cloth
tswàŋ, web
Atswàŋa gégaŋá.,Spider web.
tswaʼá,tuft
Pɔ́ ne ńkɔ́ʼɔ tswaʼá legǐ.,They cut the tuft of grass.
tswàŋ,cloth
tswàŋ, web
tsẅàŋ,cloth
tsẅàŋ, web
tsẅé,behaviour
tsẅé,habit
tsẅé,custom
tsẅé láʼ,custom
tsẅé láʼ,civilization
tsẅé nɔ̀ɔn,common duiker
tsẅé nɔ̀ɔn," ""hind"" "
tsẅé nɔ̀ɔn ndóŋ,starbur
tsẅɛ,field
tàba láʼ,sandpaper tree
tsẅɛ́,sandpaper tree
tsẅɛ̂d,very humid 
"Mbʉ̀ŋ lɔɔn ńdúu jʉʼɔɔn sésag, ejʉʼ sẅé lê tsẅêd.","If it rains too much here, the place will be very humid."
tsẅɛ́ʼ,sp. frog
