ngiemboon,en
gu û,
guʼ ú,
Guʼ ú! Tà á nyé pɔ́ yɛ̌ gie ɔ̀ shwóŋo?,“Guʼú”! Is that what you always talk about?
gùʼte,respect
gùʼte, honour
feláʼ,sp. weed
gúʼu nɔ̀ɔn panzwě,sp. weed
gúʼunɔ̀ɔn,sp. weed
gʉ̌,cup
gʉ̌, goblet
gʉ̌ mevɛ́,calabash for oil
gʉ̌ nkʉ́a,calabash for collecting wine
gʉ̌ ntse,cup
gʉ̌ ntse, goblet
gʉ̌ ntse, k. bowl from a calabash
gʉ̌ tÿóon,calabash used for drinking
gʉ̀a,going
gʉ̀a, leaving
"Agʉ̀a té tʉ, apìŋ zɔ̌ nò.","The way there is easy, but the way back is difficult."
gʉ̀gʉ̀,lunatic
gʉ̀gʉ̀,imbecile
gʉ̀gʉ̀ʉ nò,ridiculous thing
gégÿɛ́,butterfly 
gʉgÿɛ́,butterfly 
gʉ́m,very red 
Legɔ̀ʼ mmɔ́g tàalɔ̀ɔn páŋa lê gʉ́m.,The blacksmith's embers are very red.
gʉ́m,silk-cotton tree
gém ,strong cold during times of fog
gém , mist
gém , fog
 táa,strong cold during times of fog
 táa, mist
 táa, fog
gʉ́m,strong cold during times of fog
gʉ́m, mist
gʉ́m, fog
gʉ̀me,green
gʉ̀me mmɔ́g,log
gʉ̀ŋe,asthma
gʉ̀ŋe, bronchitis
gʉ̀ŋe ńkÿɛ́,niggardly
gʉ̀ŋe ńkÿɛ́, stingy
gʉ̀ŋe ńkÿɛ́, invader
gʉ̀ŋe ńkÿɛ́, pillager
gʉ̀ŋe nzsè,deflection
gʉ̀ŋe nzsè, diversion
gʉ́ʼ,stainless steel
gwá,cry
gwà,blade
gwà, chisel
gwà, pair of scissors
gẅà,sp. tree
gwà,sp. tree
